,kod,ido,konverzio,koncentracio,mertekegyseg,oldoszer
0,609,2,47.61413456,37.3,%,HEPES
1,610,2,35.86556086,10,%,DMSO
2,611,2,18.06833313,20,%,DMSO
3,612,2,5.803469459,30,%,DMSO
4,613,2,49.12180797,10,%,glycerol
5,614,2,49.7890854,20,%,glycerol
6,615,2,49.6711717,30,%,glycerol
7,616,2,10.11434917,10,%,IPA
8,617,2,1.403365121,20,%,IPA
9,618,2,0.995028984,30,%,IPA
12,609,4,48.71360088,37.3,%,HEPES
13,610,4,38.22238129,10,%,DMSO
14,611,4,19.61630871,20,%,DMSO
15,612,4,6.000096276,30,%,DMSO
16,613,4,49.53969451,10,%,glycerol
17,614,4,50,20,%,glycerol
18,615,4,50,30,%,glycerol
19,616,4,10.07266943,10,%,IPA
20,617,4,1.374283124,20,%,IPA
21,618,4,0.908256316,30,%,IPA
24,609,6,48.97812093,37.3,%,HEPES
25,610,6,39.03865271,10,%,DMSO
26,611,6,20.36976132,20,%,DMSO
27,612,6,6.178403868,30,%,DMSO
28,613,6,50,10,%,glycerol
29,614,6,50,20,%,glycerol
30,615,6,50,30,%,glycerol
31,616,6,10.12393439,10,%,IPA
32,617,6,1.437793766,20,%,IPA
33,618,6,1.149465394,30,%,IPA
36,609,8,49.105547,37.3,%,HEPES
37,610,8,39.7126,10,%,DMSO
38,611,8,20.83254,20,%,DMSO
39,612,8,6.199523,30,%,DMSO
40,613,8,50,10,%,glycerol
41,614,8,50,20,%,glycerol
42,615,8,50,30,%,glycerol
43,616,8,10.1834,10,%,IPA
44,617,8,1.4479,20,%,IPA
45,618,8,1.1647,30,%,IPA
48,609,24,49.36452899,37.3,%,HEPES
49,610,24,40.37577886,10,%,DMSO
50,611,24,21.66309369,20,%,DMSO
51,612,24,6.36571893,30,%,DMSO
52,613,24,50,10,%,glycerol
53,614,24,50,20,%,glycerol
54,615,24,50,30,%,glycerol
55,616,24,10.3154,10,%,IPA
56,617,24,1.5487,20,%,IPA
57,618,24,1.283840273,30,%,IPA
